"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5"
6.600,0.726,0.23,0.0,6.600,1.224,-0.26,0.0,6.600,1.087,3.26E-4,-0.1,,,,,,,,
6.700,0.748,0.25,-0.3,6.700,1.198,-0.25,0.0,6.700,1.088,-0.01,-0.1,,,,,,,,
6.800,0.771,0.24,-0.4,6.800,1.178,-0.27,0.1,6.800,1.088,-0.02,0.0,,,,,,,,
6.900,0.797,0.19,-0.3,6.900,1.152,-0.27,0.1,6.900,1.086,-0.03,0.0,,,,,,,,
7.000,0.827,0.13,-0.1,7.000,1.121,-0.24,0.0,7.000,1.084,-0.03,0.0,,,,,,,,
7.100,0.836,0.11,0.1,7.100,1.094,-0.22,-0.2,7.100,1.080,-0.02,0.1,,,,,,,,
7.200,0.845,0.13,0.1,7.200,1.072,-0.24,-0.2,7.200,1.077,-0.02,0.1,,,,,,,,
7.300,0.858,0.14,0.3,7.300,1.054,-0.28,0.0,7.300,1.075,-0.01,0.1,,,,,,,,
7.400,0.871,0.15,0.5,7.400,1.027,-0.30,0.2,7.400,1.074,0.00,0.0,,,,,,,,
7.500,0.889,0.18,0.7,7.500,0.995,-0.29,0.2,7.500,1.073,0.00,0.0,,,,,,,,
7.600,0.899,0.25,0.6,7.600,0.965,-0.25,0.0,7.600,1.073,0.00,0.0,,,,,,,,
7.700,0.919,0.34,0.2,7.700,0.935,-0.23,-0.3,7.700,1.074,0.01,0.0,,,,,,,,
7.800,0.947,0.40,-0.3,7.800,0.911,-0.25,-0.4,7.800,1.074,0.01,0.0,,,,,,,,
7.900,0.989,0.40,-0.5,7.900,0.896,-0.30,-0.3,7.900,1.075,0.02,0.0,,,,,,,,
8.000,1.031,0.32,-0.3,8.000,0.863,-0.35,-0.1,8.000,1.078,0.01,0.0,,,,,,,,
8.100,1.078,0.27,-0.1,8.100,0.831,-0.37,0.2,8.100,1.079,0.01,0.0,,,,,,,,
8.200,1.099,0.25,0.1,8.200,0.795,-0.38,0.4,8.200,1.079,0.01,0.0,,,,,,,,
8.300,1.115,0.27,0.1,8.300,0.754,-0.34,0.5,8.300,1.080,0.00,0.0,,,,,,,,
8.400,1.153,0.27,0.0,8.400,0.715,-0.28,0.4,8.400,1.080,0.01,0.0,,,,,,,,
8.500,1.173,0.28,-0.1,8.500,0.685,-0.24,0.2,8.500,1.081,0.01,0.0,,,,,,,,
8.600,1.202,0.29,-0.3,8.600,0.661,-0.20,0.0,8.600,1.081,0.02,0.0,,,,,,,,
8.700,1.230,0.26,-0.4,8.700,0.640,-0.20,0.1,8.700,1.083,0.02,0.0,,,,,,,,
8.800,1.262,0.21,-0.4,8.800,0.619,-0.21,0.2,8.800,1.085,0.02,-0.1,,,,,,,,
8.900,1.286,0.16,-0.3,8.900,0.604,-0.20,0.3,8.900,1.087,0.02,-0.1,,,,,,,,
9.000,1.301,0.13,-0.2,9.000,0.576,-0.17,0.3,9.000,1.087,6.07E-4,-0.1,,,,,,,,
9.100,1.316,0.10,-0.2,9.100,0.555,-0.13,0.2,9.100,1.095,-0.02,0.1,,,,,,,,
9.200,1.326,0.09,-0.3,9.200,0.546,-0.11,0.2,9.200,1.087,-0.02,0.1,,,,,,,,
9.300,1.336,0.06,-0.3,9.300,0.534,-0.09,0.2,9.300,1.087,2.20E-4,0.1,,,,,,,,
9.400,1.341,0.02,-0.3,9.400,0.522,-0.06,0.1,9.400,1.083,0.01,0.0,,,,,,,,
9.500,1.356,-0.01,,9.500,0.515,-0.04,,9.500,1.086,0.01,,,,,,,,,
9.600,1.345,-0.03,,9.600,0.511,-0.04,,9.600,1.088,0.00,,,,,,,,,
9.700,1.347,-0.03,,9.700,0.507,-0.03,,9.700,1.089,-0.01,,,,,,,,,
9.800,1.342,,,9.800,0.503,,,9.800,1.089,,,,,,,,,,
9.900,1.340,,,9.900,0.501,,,9.900,1.086,,,,,,,,,,
10.000,1.340,,,10.000,0.501,,,10.000,1.086,,,,,,,,,,
